english_sentence,korean_sentence
"Because of your special nuptial song, the wedding atmosphere was good.","네 축가 덕분에 결혼식 분위기가 좋았어."
"I missed the bus.","버스를 놓쳐 버렸어."
"If you follow that blue line, it will be easy to find.","저 파란 선을 보고 따라가시면 찾기 쉬워요."
"At the next station, you should take the regular train to come back.","다음 역에서 일반열차를 타고 다시 돌아오셔야겠네요."
"I'm telling you, I was so tired.","난 너무 피곤했단 말이야."
"When you get off, they tell you to be careful. How kind of them.","내릴 때 조심하라는 말도 해 주잖아. 얼마나 친절한데."
"What's so fun about it? It's so inconvenient when the subway is crowded.","재미있긴 뭐가 재미있어? 지하철 붐빌 땐 얼마나 불편한데."
"I wish to have a check up in the morning.","저는 오전에 검진을 받았으면 해요."
"They said they do a sleep endoscopy here, so I am here for that.","여기서는 수면 내시경 검사를 한다고 해서 그걸로 하려고요."
"It is a medication that empties the bowels so that the examination goes well.","검사가 잘 되게 장을 모두 비우는 약이에요."
"Since there are a lot of people, it is good to draw the blood first.","지금 사람이 많으니까 채혈을 먼저 하고서 가시는 게 좋아요."
"I'm not receiving any treatment but I am taking medication for stomach from time to time.","치료를 받는 건 아니고 위장약을 가끔 먹고 있어요."
"Any drink is not better than water.","어떤 음료도 물만 못하군요."
"I wish I had a chance to do so.","그럴 기회가 있었으면 좋겠어요."
"On the application, please write your name and any questions that you have.","신청서에 이름과 질문하고 싶은 내용을 쓰도록 하세요."
"If we had more face-to-face talk time, I would have asked a lot more questions.","면담 시간이 많았다면 질문을 많이 했을 거예요."
"Of course. There is also a PD (Producer and Director) who majors in public administration.","있고말고요. 행정학을 전공한 피디도 있어요."
"Either a journalist who is like a reporter or an announcer.","기자라든가 아나운서 같은 언론인이 될 수 있어요."
"I chose to study communictions but I'm still not sure about my decision.","신문방송학으로 결정을 하기는 했지만 아직도 확신이 없어요."
"There are several designs, which card do you want? These days many people use card like this that have a character design.","여기 디자인이 여러가지가 있는데 어떤 카드로 하시겠습니까? 요즘은 이렇게 캐릭터 카드로 많이들 한답니다."
"Oops, I gave you my membership card accidentally instead of my credit card.","제가 신용카드를 드린다는 것이 그만 회원카드를 드렸네요."
"Last week, I bought this blouse. Is it possible to receive a refund? I just tried it on at home.","지난주에 이 블라우스를 샀는데 환불을 받을 수 있을까요? 집에서 입어 보기만 했어요."
"Even though the conditions are very particular, it is possible if you are employed in Korea.","조건이 까다롭기는 하지만 한국에서 직장에 다니고 계신다면 가능합니다."
"What do you mean what should you do? You should call the card company and report it lost.","어떡하긴. 카드 회사에 전화해서 분실 신고부터 해야지."
"I may not be able to go home today.","오늘은 제가 집에 못 들어갈 수도 있어요."
"No matter how fashionable these clothes are, you should wear what is suitable to you.","아무리 이런 옷이 유행한다고 해도 어울리는 걸 입어야지."
"Then, instead of trying to gift a perfume that is often used, try to gift a perfume that has an unusual scent.","그럼 자주 쓰는 향수를 선물하기보다는 색다른 향이 나는 이 향수를 선물해 보세요."
"Ordinary? If you dye it brighter, it will bring out your individuality.","평범하다니요? 밝게 염색하면 개성 있어 보일 거예요."
"After using the mask pack, it seems to have made my skin calm. It was good to listen to you.","마스크팩했더니 피부가 좀 진정된 것 같아. 네 말을 듣길 잘했다."
"Then, I'll go to the funeral hall to show my condolences.","그럼 나도 조문하러 장례식장에 가야지."
"There is no rule that you cannot wear earrings during an interview.","면접 볼 때 귀걸이하지 말라는 법은 없잖아."
"The only thing left is business class.","남은 건 비즈니스석뿐이에요."
"I reserved an airline ticket last week and am calling to see if I could change the dates.","지난주에 비행기표를 예약했는데 날짜를 좀 변경할 수 있나 해서 전화했어요."
"It would have been possible if you came a little earlier, but there is only seats in the back.","좀 일찍 오셨으면 가능했을 텐데 지금은 뒤쪽 자리밖에 없습니다."
"I cannot believe that we are really in Korea.","우리가 진짜 한국에 오다니 믿을 수가 없어."
"It is the size of a palm of a hand and light.","크기는 손바닥만 하고 가볍습니다."
"You can go by the airport bus or the subway, what will you use?&nbsp;","공항버스나 지하철로 가실 수 있는데 무엇을 이용하실 건가요?"
"I went to my gynecologist this morning and was told I'm 3 months pregnant.","오늘 아침에 산부인과에 다녀왔는데 임신 3개월이래요."
"Nutritional supplements are important, but you need to eat food in order to recover one's strength.","영양제도 영양제지만 밥을 먹어야 기운이 날 텐데요."
"Looking at the ultrasonic photos, the fingers seem like they will be long and pretty.","초음파 사진으로 봐서는 손가락도 길고 예쁠 것 같아요."
"If I compare to last month, my body feels heavier.","지난달에 비하면 몸이 많이 무거워졌어요."
"During pospartum care it is unlike other times because you need to keep your body warm for it not to be bad for your body.","산후조리 중에는 다른 때와 달리 몸을 따뜻하게 해야 몸이 상하지 않는대."
"After mothers give birth, because of the hormone influence they have many moments when they feel emotional.","산모들은 출산 후 호르몬의 영향으로 인해 그런 기분을 느끼는 경우가 많습니다."
"The shoulder (of the road) is for emergency vehicles.","긴급 차량이 가도록 만든 갓길이에요."
"If you look on the way, there will be a rest area that comes along. Rest there for a bit.","가다가 보면 졸음쉼터가 나올 거예요. 거기에서 좀 쉬어요."
"Those are cars that have a Hi-Pass card reader installed. I have it installed in my card so I pay in installments and it's very convenient.","하이패스 단말기를 단 차들이에요. 제 차에도 달았더니 후불로 결제해서 편하더라고요."
"Something like that happened? I should have told you in advance.","그런 일이 있으셨어요? 제가 미리 말씀 드릴 걸 그랬네요."
"The road is so wide but the speed limit is 90 kilometers? Is it not too low?","이렇게 도로가 넓은데 제한 속도가 90킬로미터라니요? 너무 낮은 거 아니에요?"
"Since we are going to the rest area, I will do some refueling also.","휴게소에 가는 김에 주유도 좀 해야겠어요."
"The professor asked the students to post a possible date for a makeup lesson (class) in the chatroom.","교수님께서 학생들에게 보강이 가능한 날짜를 채팅방에 올려 달라셨어."
"This time, it seems like the professor will attend as well, if you can, let's go together.","이번에는 교수님들도 참석하시는 것 같던데 웬만하면 같이 가자."
"I'm a student returning to school after taking time off but I feel like I am a freshman.","복학생인데 신입생이 된 듯한 기분이야."
"Did we decide what phrase will go on the jumper?","점퍼에 들어갈 문구는 정해졌습니까?"
"I think I diligently wrote my reports and did quite well on my tests.","저는 보고서도 열심히 썼고 시험도 꽤 잘 봤다고 생각합니다."
"I did not even get a job, but, feel reluctant to graduate first.","취업도 못 했는데 졸업부터 하기가 좀 그래."
"I want to let my child play around in the yard.","전 우리 아이를 마당에서 뛰어놀게 하고 싶어요."
"Have you tried telling them to be quiet?","조용히 해 달라는 말은 해 봤어요?"
"These days, I heard there are agencies that arbitrate these sort of issues, try to find out.","요즘 이런 문제를 중재해 주는 기관이 있다던데 한번 알아보세요."
"If you had not told me, I would not have been able to cook tomorrow.","당신이 말해주지 않았으면 내일 밥도 못 할 뻔했네요."
"At first the auntie was surprised then liked it later.","아주머니가 처음엔 놀라시더니 나중엔 좋아하셨어요."
"This apartment seems to be thoroughly cracking down.","이 아파트는 단속을 철저히 하는 모양이네요."
"I am going to study at home or go to a coffee shop.","난 집에서 공부하든지 커피숍에 가든지 해야겠다."
"I will only eat it once a week from now on.","앞으로는 일주일에 한 번만 먹을까 봐."
"I usually do not do it but I don't know why I act like that when I present.","평소에는 안 그러다가도 발표할 때는 왜 그런 행동을 하는지 모르겠어요."
